absolute_course_url,course_name,subject_name
https://www.class-central.com/course/coursera-developing-the-opportunity-for-corporate-entrepreneurs-7180,Developing the Opportunity for Corporate Entrepreneurs,Business
https://www.class-central.com/course/coursera-digital-transformations-7190,Digital Transformations,Business
https://www.class-central.com/course/coursera-habilidades-gerenciales-proyecto-final-7139,Habilidades gerenciales: Proyecto final,Business
https://www.class-central.com/course/coursera-----7355,Мастерство создания стоимости компании,Business
https://www.class-central.com/course/coursera-marketing-gerencial-7104,Marketing Gerencial,Business
https://www.class-central.com/course/coursera-construction-finance-7107,Construction Finance,Business
https://www.class-central.com/course/coursera-statistics-for-international-business-8041,Statistics for International Business,Business
https://www.class-central.com/course/coursera-research-kitchen-8055,Research kitchen,Business
https://www.class-central.com/course/coursera-engineering-project-management-scope-time-and-cost-management-8328,"Engineering Project Management: Scope, Time and Cost Management",Business
https://www.class-central.com/course/coursera-cost-and-economics-in-pricing-strategy-8350,Cost and Economics in Pricing Strategy,Business
